Type,Code,Cause,Recovery mode
18,2,"The CIP Motion drive has not initialized correctly.
This fault is indicated when a
manufacturer-specific initialization fault has occurred.","To determine the corrective action, see the CIP Initialization Fault - Mfg attributes for details about the fault that occurred.
For more information about the CIP Initialization Fault - Mfg attribute, see the Integrated Motion on the Ethernet/IP Network Configuration and Startup User Manual, publication MOTION-UM003 ."
18,3,"The Physical Axis Fault bit is set, indicating a fault on the physical axis.","To determine corrective action, see the CIP Axis Fault attributes for details about the fault that occurred.
For more information about the CIP Axis Fault attributes, see the Integrated Motion on the Ethernet/IP Network  Configuration and Startup User Manual, publication MOTION-UM003 ."
18,4,"The Physical Axis Fault bit is set, indicating a fault on the physical axis.
This fault is indicated when a manufacturer-specific axis fault has occurred.","To determine corrective action, see the CIP Axis Fault - Mfg attributes for details about the fault that occurred.
For more information about the CIP Axis Fault -Mfg attributes, see the Integrated Motion on the Ethernet/IP Network Configuration and Startup User Manual, publication MOTION-UM003 ."
18,5,A motion fault occurred.,"To determine corrective action, see the Motion Fault attribute and Motion Fault bits for details about the fault that occurred.
For more information about the Motion Fault attribute and Motion Fault bits, see the Integrated Motion on the Ethernet/IP Network Configuration and Startup User Manual, publication MOTION-UM003."
18,6,"A CIP Motion Drive fault has occurred.
Usually the fault affects all the axes associated with the module and all of the associated axes are shut down.","Reconfigure the faulted motion module to correct the fault.
For more information about the Module Fault attribute and Module Fault bits, see the Integrated Motion on the Ethernet/IP Network Configuration and Startup User Manual, publication MOTION-UM003."
18,7,"A motion group fault has occurred.
Usually the fault affects all of the axes associated with a motion group.","Reconfigure the entire motion subsystem to correct the fault.
See the Group Fault attribute if details about the fault are needed."
18,8,"A fault has occurred during the configuration of a CIP Motion Drive.
Typically, this fault occurs after an attempt to update an axis configuration attribute of a CIP Motion Drive was unsuccessful.","To determine the corrective action, see the Configuration Fault in the Attribute Error Code and Attribute Error ID attributes associated with the motion or 1756-ENxT module."
18,9,An Absolute Position Recovery (APR) fault has occurred and the absolute position of the axis cannot be recovered.,"To determine the corrective action, see the APR Fault attributes to determine the cause of the fault.
For more information about the APR Fault attributes, see the Integrated Motion on the Ethernet/IP Network Configuration and Startup User Manual, publication MOTION-UM003."
18,10,"An Absolute Position Recovery (APR) fault has occurred and the absolute position of the axis cannot be recovered.
This fault is indicated when a manufacturer-specific APR fault has occurred.","To determine the corrective action, see the APR Fault - Mfg attributes to determine the cause of the fault.
For more information about the APR Fault - Mfg attributes, see the Integrated Motion on the Ethernet/IP Network  Configuration and Startup User Manual, publication MOTION-UM003."
18,128,"A fault specific to the Guard Motion safety function has occurred.
This fault is applicable only when a drive with Guard Safety functionality is used.","To determine the corrective action, see the Guard Motion attributes and Guard Status bits to determine the cause of the fault.
For more information about the Guard Motion attributes and Guard Status bits, see the Integrated Motion on the Ethernet/IP Network Configuration and Startup User Manual, publication MOTION-UM003."
20,1,A required license is missing or expired during the transition to run or test mode.,Insert a CmCard containing all licenses required by the project in the controller.
